type,code,name,date,last,pct,source
ETF,512810,国防军工ETF,13:43:31,0.723,-0.5502,sina_quote
ETF,159399,现金流ETF,2025-08-21,1.109,0.7266,sina_quote
ETF,513530,港股红利ETF,13:43:33,1.718,0.1749,sina_quote
