type,code,name,date,value,pct,source
FUND,022364,永赢科技智选A,2025-10-10,3.2643,-0.0137,eastmoney_gz
FUND,006502,财通集成电路A,2025-10-10,3.3864,-0.0158,eastmoney_gz
FUND,018956,中航机遇领航A,2025-10-10,2.8743,-0.0105,eastmoney_gz
