type,code,name,date,value,pct,source
FUND,022364,永赢科技智选A,2025-10-28,3.7132,0.0049,eastmoney_gz
FUND,006502,财通集成电路A,2025-10-28,4.0079,0.0397,eastmoney_gz
FUND,018956,中航机遇领航A,2025-10-28,3.2704,0.0126,eastmoney_gz
