type,code,name,date,value,pct,source
FUND,022364,永赢科技智选A,2025-10-24,3.4712,0.0516,eastmoney_gz
FUND,006502,财通集成电路A,2025-10-24,3.6505,0.0482,eastmoney_gz
FUND,018956,中航机遇领航A,2025-10-24,3.0981,0.0467,eastmoney_gz
